user_id,created_at,retweet_screen_name,text,source,display_text_width,is_retweet,favorite_count,retweet_count,hashtags,mentions_screen_name,lang,retweet_text,retweet_favorite_count,retweet_retweet_count,screen_name,name,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count
637108101,3/9/2024 20:00,AMIGOJODE,"Download and Read the full Monetary Policy and Financial Stability Statement below. #MPFSS2024

Link: https://t.co/9YouU68TYG https://t.co/x6c745K48j",Twitter for Android,140,TRUE,0,4,MPFSS2024,CentralBankRw,en,"Download and Read the full Monetary Policy and Financial Stability Statement below. #MPFSS2021

Link: https://t.co/9YouU68TYG https://t.co/x6c745K48j",9,4,CentralBankRw,Joseph DESIRE AMF,FALSE,240,718,0,226,395
356339338,10/15/2024 20:00,GNsengiyumva,"Download and Read the full Monetary Policy and Financial Stability Statement below. #MPFSS2024

Link: https://t.co/9YouU68TYG https://t.co/x6c745K48j",Twitter Web App,140,TRUE,0,4,MPFSS2024,CentralBankRw,en,"Download and Read the full Monetary Policy and Financial Stability Statement below. #MPFSS2021

Link: https://t.co/9YouU68TYG https://t.co/x6c745K48j",9,4,CentralBankRw,Ambassador GERARD NSENGIYUMVA,FALSE,2407,413,67,16931,1941
3226344635,10/1/2024 20:10,tumukundegeo,"Download and Read the full Monetary Policy and Financial Stability Statement below. #MPFSS2024

Link: https://t.co/9YouU68TYG https://t.co/x6c745K48j",Twitter Web App,140,TRUE,0,4,MPFSS2024,CentralBankRw,en,"Download and Read the full Monetary Policy and Financial Stability Statement below. #MPFSS2021

Link: https://t.co/9YouU68TYG https://t.co/x6c745K48j",9,4,CentralBankRw,Tumukunde Georgine,FALSE,136,612,0,1617,74
3226344635,3/9/2024 19:01,tumukundegeo,"Today, the National Bank of #Rwanda will publish the Monetary Policy and Financial Stability Statement for the second half of the year 2024. Below are some of the key highlights. 

#MPFSS2024 https://t.co/874BezHfrr",Twitter Web App,140,TRUE,0,19,MPFSS2024,CentralBankRw,en,"Today, the National Bank of #Rwanda will publish the Monetary Policy and Financial Stability Statement for the second half of the year 2020. Below are some of the key highlights. 

#MPFSS2021 https://t.co/874BezHfrr",66,19,CentralBankRw,Tumukunde Georgine,FALSE,136,612,0,1617,74
803874565038469124,10/11/2024 19:20,AFRwanda,"Today, the National Bank of #Rwanda will publish the Monetary Policy and Financial Stability Statement for the second half of the year 2024. Below are some of the key highlights. 

#MPFSS2024 https://t.co/874BezHfrr",Twitter Web App,140,TRUE,0,19,MPFSS2024,CentralBankRw,en,"Today, the National Bank of #Rwanda will publish the Monetary Policy and Financial Stability Statement for the second half of the year 2020. Below are some of the key highlights. 

#MPFSS2021 https://t.co/874BezHfrr",66,19,CentralBankRw,Access to Finance Rwanda,FALSE,1568,663,7,1691,1551
602768559,10/7/2024 19:08,JosephNzab,"Today, the National Bank of #Rwanda will publish the Monetary Policy and Financial Stability Statement for the second half of the year 2024. Below are some of the key highlights. 

#MPFSS2024 https://t.co/874BezHfrr",Twitter for Android,140,TRUE,0,19,MPFSS2024,CentralBankRw,en,"Today, the National Bank of #Rwanda will publish the Monetary Policy and Financial Stability Statement for the second half of the year 2020. Below are some of the key highlights. 

#MPFSS2021 https://t.co/874BezHfrr",66,19,CentralBankRw,Dr.JosephNzabonikuza,FALSE,82,294,0,63,113
1241246967805751301,9/25/2024 13:00,Rkangirashyamba,"Today, the National Bank of #Rwanda will publish the Monetary Policy and Financial Stability Statement for the second half of the year 2024. Below are some of the key highlights. 

#MPFSS2024 https://t.co/874BezHfrr",Twitter for iPhone,140,TRUE,0,19,MPFSS2024,CentralBankRw,en,"Today, the National Bank of #Rwanda will publish the Monetary Policy and Financial Stability Statement for the second half of the year 2020. Below are some of the key highlights. 

#MPFSS2021 https://t.co/874BezHfrr",66,19,CentralBankRw,Rukangirashyamba,FALSE,313,1234,0,1153,6063
270043323,3/17/2024 21:00,JonasThepremier,"The Monetary Policy Committee decided to cut the Central Bank Rate (CBR) from 5.0 percent to 4.5 percent in April 2024 and has maintained that accommodative stance.

#MPFSS2024 https://t.co/d8cp5L5eAN",Twitter for Android,140,TRUE,0,3,,CentralBankRw,en,"The Monetary Policy Committee decided to cut the Central Bank Rate (CBR) from 5.0 percent to 4.5 percent in April 2020 and has maintained that accommodative stance.

#MPFSS2021 https://t.co/d8cp5L5eAN",5,3,CentralBankRw,Brother Jonas🥇,FALSE,2166,3565,5,7161,11501
464560506,3/1/2024 21:01,JeanClaudeGaga,"During 2024, active mobile payment subscribers (transacted in the previous 90 days) increased by 13 percent from 4,139,075 to 4,688,124 while the number of mobile agents increased by 33 percent from 98,359 to 131,173.

#MPFSS2024 https://t.co/x039GNFWHs",Twitter for iPhone,140,TRUE,0,3,,CentralBankRw,en,"During 2020, active mobile payment subscribers (transacted in the previous 90 days) increased by 13 percent from 4,139,075 to 4,688,124 while the number of mobile agents increased by 33 percent from 98,359 to 131,173.

#MPFSS2021 https://t.co/x039GNFWHs",7,3,CentralBankRw,Jean Claude Gaga,FALSE,2033,733,18,2749,2416
464560506,3/23/2024 21:30,JeanClaudeGaga,"The number of traditional Point of Sale (POS) machines increased from 3,477 in December 2019 to 4,335 in December 2024. 

#MPFSS2024 https://t.co/wbAy4Y0WEk",Twitter for iPhone,139,TRUE,0,1,,CentralBankRw,en,"The number of traditional Point of Sale (POS) machines increased from 3,477 in December 2019 to 4,335 in December 2020. 

#MPFSS2021 https://t.co/wbAy4Y0WEk",6,1,CentralBankRw,Jean Claude Gaga,FALSE,2033,733,18,2749,2416
464560506,10/19/2024 20:00,JeanClaudeGaga,"In 2024, mobile banking transactions increased in volume by 183 percent from 2 million to 6 million and by 224 percent in value from FRW 85 Billion to FRW 277 Billion of transactions.

#MPFSS2024 https://t.co/6nevQ1eaJa",Twitter for iPhone,140,TRUE,0,3,,CentralBankRw,en,"In 2020, mobile banking transactions increased in volume by 183 percent from 2 million to 6 million and by 224 percent in value from FRW 85 Billion to FRW 277 Billion of transactions.

#MPFSS2021 https://t.co/6nevQ1eaJa",4,3,CentralBankRw,Jean Claude Gaga,FALSE,2033,733,18,2749,2416
464560506,10/22/2024 20:00,JeanClaudeGaga,"Number of mobile banking users increased by 12 percent from 1,845,584 to 2,065,624.

#MPFSS2024 https://t.co/FA4MiyyDko",Twitter for iPhone,138,TRUE,0,3,MPFSS2024,CentralBankRw,en,"Number of mobile banking users increased by 12 percent from 1,845,584 to 2,065,624.

#MPFSS2021 https://t.co/FA4MiyyDko",8,3,CentralBankRw,Jean Claude Gaga,FALSE,2033,733,18,2749,2416
464560506,3/21/2024 22:00,JeanClaudeGaga,"Growth of insurance claims moderated to 6.7% in 2024 from 10.1% in 2019 as the lockdown and travel restrictions contained accident related claims and office related operational expenses.

#MPFSS2024 https://t.co/ANudNj6Dih",Twitter for iPhone,140,TRUE,0,1,,CentralBankRw,en,"Growth of insurance claims moderated to 6.7% in 2020 from 10.1% in 2019 as the lockdown and travel restrictions contained accident related claims and office related operational expenses.

#MPFSS2021 https://t.co/ANudNj6Dih",2,1,CentralBankRw,Jean Claude Gaga,FALSE,2033,733,18,2749,2416
